,AUTORID,IDPARIDADE,TIPOPRODUCAO,NOMECOMPLETODOSAUTORES,NOMEPARACITACAO,ORDEMIDCNPQ,ORDEMDEAUTORIA,NOMEGRANDEAREADOCONHECIMENTO1,NOMEDAAREADOCONHECIMENTO1,NOMEDASUBAREADOCONHECIMENTO1,NOMEDAESPECIALIDADE1,NOMEGRANDEAREADOCONHECIMENTO2,NOMEDAAREADOCONHECIMENTO2,NOMEDASUBAREADOCONHECIMENTO2,NOMEDAESPECIALIDADE2,NOMEGRANDEAREADOCONHECIMENTO3,NOMEDAAREADOCONHECIMENTO3,NOMEDASUBAREADOCONHECIMENTO3,NOMEDAESPECIALIDADE3,TIPO,TITULODOCAPITULODOLIVRO,ANO,PAISDEPUBLICACAO,IDIOMA,MEIODEDIVULGACAO,HOMEPAGEDOTRABALHO,FLAGRELEVANCIA,DOI,TITULODOCAPITULODOLIVROINGLES,FLAGDIVULGACAOCIENTIFICA,TITULODOLIVRO,NUMERODEVOLUMES,PAGINAINICIAL,PAGINAFINAL,ISBN,ORGANIZADORES,NUMERODAEDICAOREVISAO,NUMERODASERIE,CIDADEDAEDITORA,NOMEDAEDITORA,PALAVRACHAVE1,PALAVRACHAVE2,PALAVRACHAVE3,PALAVRACHAVE4,PALAVRACHAVE5,PALAVRACHAVE6,SETORDEATIVIDADE1,SETORDEATIVIDADE2,SETORDEATIVIDADE3,ID
1987,7922561640412148,4242,CAPITULO-DE-LIVRO-PUBLICADO,Marcelo Tavares Natividade| Leandro de Oliveira|,"NATIVIDADE, Marcelo Tavares| OLIVEIRA, L.|",1824190259489240| 7922561640412148|,1| 2|,CIENCIAS_HUMANAS,,Antropologia Urbana,,,,,,,,,,Capítulo de livro publicado,"O que há de tão ?satânico? na ?xereca? da vizinha? Notas sobre gênero, política pública, cidadania e liberdade",2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,"Margens da Política: Estado, Direitos Sexuais e religiões",,243,267.0,9788576174387,Marcelo Natividade,1a,,Rio de Janeiro,Garamond Universitária,2018-08-02T21:07:55.040Z,,,,,,,,,1988
1988,7925839052222233,1472,CAPITULO-DE-LIVRO-PUBLICADO,Ricardo Fabrino Mendonça| Eleonora Schettini Martins Cunha|,"MENDONÇA, Ricardo Fabrino| CUNHA, Eleonora Schettini Martins|",2011077236634286| |,1| 2|,CIENCIAS_HUMANAS,,,,,,,,,,,,Capítulo de livro publicado,Participação ampla sem deliberação?,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,Política e desenvolvimento institucional no Legislativo de Minas Gerais,1,281,316.0,9788582290408,Manoel Leonardo dos Santos; Fátima Anastasia,1,0.0,Belo Horizonte,Editora PUC Minas,,,,,,,,,,1989
1989,7925589410115058,4243,CAPITULO-DE-LIVRO-PUBLICADO,Tomasz Pietrzykowski| Brunello Souza Stancioli|,"PIETRZYKOWSKI, T.| STANCIOLI, B. S.|",| |,1| 2|,,,,,,,,,,,,,Capítulo de livro publicado,Introduction: Modern Challenges to the Concept of a Person in Law,2016,Brasil,Inglês,VARIOS,,NAO,,,NAO,New Approaches to the Personhood in Law: Essays in Legal Philosophy,,7,12.0,9783631656853,Tomasz Pietrzykowski; Brunello Stancioli,1,,Frankfurt,Peter Lang,2018-08-02T21:07:55.041Z,,,,,,,,,1990
1990,8502647586274242,774,CAPITULO-DE-LIVRO-PUBLICADO,Cláudio Márcio Oliveira|,"OLIVEIRA, Cláudio M.|",8502647586274242|,1|,CIENCIAS_HUMANAS,,,,,,,,,,,,Capítulo de livro publicado,"Reflexões Políticas acerca dos transportes urbanos: técnica, temporalidade e formação dos corpos a partir dos olhares de Walter Benjamin, Paul Virilio e Theodor Adorno",2016,Brasil,Português,IMPRESSO,,NAO,,,SIM,Atualidade da Teoria Crítica na Era Global,,181,204.0,9788577511112,Bruno Pucci et alli,1,,São Paulo,Editora Namkim,2018-08-02T21:03:32.361Z,,,,,,,,,1991
1991,8509656834367486,775,CAPITULO-DE-LIVRO-PUBLICADO,Rafael Porto Francisco|,"FRANCISCO, R. P.|",8509656834367486|,1|,,,,,,,,,,,,,Capítulo de livro publicado,A Solidão Do Preto Gay,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,"Gênero, Sexualidade e Direito: uma introdução",1,278,289.0,9788564912861,Marcelo Maciel Ramos; Pedro Augusto Gravatá Nicoli; Paula Rocha Gouvêa Brener,1,,,Initia Via,2018-08-02T21:03:32.362Z,,,,,,,,,1992
1992,8518698825437370,776,CAPITULO-DE-LIVRO-PUBLICADO,Francisco Carlos de Carvalho Marinho|,"MARINHO, F. C. C.|",|,1|,LINGUISTICA_LETRAS_E_ARTES,,,,LINGUISTICA_LETRAS_E_ARTES,Letras,,,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação,,,Capítulo de livro publicado,Leituras Móveis Leitores Ubíquos: experiências em arte digital,2016,Brasil,Português,IMPRESSO,www.upf.br/editora,NAO,,,NAO,Literatura e Identidade na Era da Moblidade,,107,153.0,9788575159262,Tania Mariza Kuchenbecker Rosing,1,,Passo Fundo,UPF Editora,2018-08-02T21:03:32.362Z,,,,,,,,,1993
1993,8518698825437370,1844,CAPITULO-DE-LIVRO-PUBLICADO,Francisco Carlos de Carvalho Marinho| Marília Bérgamo|,"MARINHO, F. C. C.| BÉRGAMO, Marília|",| |,1| 2|,LINGUISTICA_LETRAS_E_ARTES,,,,CIENCIAS_EXATAS_E_DA_TERRA,Ciência da Computação,,,,,,,Capítulo de livro publicado,Tecnologia e Delicadeza: estratégias da simplicidade cotidiana na geração de resultados estéticos complexos,2016,Brasil,Português,NAO_INFORMADO,,NAO,,,NAO,"Mutações, confluências e experimentações na Arte e Tecnologia",,141,154.0,9788589698504,Ventureli S. ; Rocha C.,1,,Brasília,Editora PPG-ARTE/UNB,,,,,,,,,,1994
1994,8522990706627775,777,CAPITULO-DE-LIVRO-PUBLICADO,Cassandra Pereira Franca|,"FRANÇA, CASSANDRA PEREIRA|",|,1|,,,,,,,,,,,,,Capítulo de livro publicado,Os fantasmas da mãe adotiva,2016,Brasil,Português,NAO_INFORMADO,http://www.kbrdigital.com.br/amostras/ion-de-euripides-interpretacoes-psicanaliticas-amostra.pdf,NAO,,,NAO,"Íon, de Eurípides: Interpretações psicanalíticas",,35,42.0,9788581804590,Fábio Belo,1,,Petrópolis,KBR,2018-08-02T21:03:32.363Z,,,,,,,,,1995
1995,8524050960433272,778,CAPITULO-DE-LIVRO-PUBLICADO,Ana Cristina Carvalho Pereira|,"PEREIRA, A. C. C.|",8524050960433272|,1|,,,,,,,,,,,,,Capítulo de livro publicado,A dança na Educação Infantil: Desafios e possibilidades - Projeto Linguagem Corporal na Educação Infantil na Rede Municipal de Belo Horizonte,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,"Pedagogia das Artes Cênicas: criança, jogo e formação",1,33,43.0,8544408605,"CRUVINEL, Tiago de Brito; MUNIZ, Mariana de Lima e",1,1.0,Curitiba (PR),Editora CRV,2018-08-02T21:03:32.363Z,,,,,,,,,1996
1996,8525677886136477,4328,CAPITULO-DE-LIVRO-PUBLICADO,Giovani Clark| Leonardo Alves Corrêa| Samuel Pontes do Nascimento|,"CLARK, G.;CLARK, GIOVANI| CORREA, L. A.| NASCIMENTO, Samuel Pontes do|",8525677886136477| 1400480796670930| |,1| 2| 3|,CIENCIAS_SOCIAIS_APLICADAS,,,,CIENCIAS_SOCIAIS_APLICADAS,Direito,Direito Econômico,,,,,,Capítulo de livro publicado,Ideologia Constitucional e Pluralismo Produtivo,2016,Brasil,Português,MEIO_DIGITAL,,NAO,,Ideologia Constitucional e Pluralismo Produtivo,NAO,Risco e Futuro da Democracia Brasileira : direito e política no Brasil contemporâneo,01,361,390.0,9788557080164,Juarez Guimarães ... [et al.],1,,São Paulo,Fundação Perseu Abramo,2018-08-02T21:07:55.160Z,,,,,,,,,1997
1997,8525677886136477,4329,CAPITULO-DE-LIVRO-PUBLICADO,Giovani Clark| Débora Nogueira Esteves|,"CLARK, G.;CLARK, GIOVANI| ESTEVES, D. N.|",8525677886136477| |,1| 2|,CIENCIAS_SOCIAIS_APLICADAS,,Direito Ambiental,,CIENCIAS_SOCIAIS_APLICADAS,Direito,Direito Econômico,,CIENCIAS_SOCIAIS_APLICADAS,Direito,Direito Constitucional,,Capítulo de livro publicado,O DIREITO HUMANO DO ACESSO À ÁGUA EM RISCO: um exemplo acerca da apropriação do recurso por empresa transnacional no Brasil,2016,Brasil,Português,MEIO_DIGITAL,,NAO,,O DIREITO HUMANO DO ACESSO À ÁGUA EM RISCO: um exemplo acerca da apropriação do recurso por empresa transnacional no Brasil,NAO,A SUSTENTABILIDADE DA RELAÇÃO ENTRE EMPRESAS TRANSNACIONAIS E DIREITOS HUMANOS,01,243,266.0,9788544413074,Marcelo Benacchio; Diogo Basilio Vailatti; Eliete Doretto Dominiquini,01,1.0,Crutiba,CRV,2018-08-02T21:07:55.161Z,,,,,,,,,1998
1998,8525677886136477,4330,CAPITULO-DE-LIVRO-PUBLICADO,Giovani Clark| Luiza Viana Torres| Leonardo Alves Corrêa|,"CLARK, G.;CLARK, GIOVANI| TORRES, L. V.| CORREA, L. A.|",8525677886136477| | 1400480796670930|,1| 2| 3|,CIENCIAS_SOCIAIS_APLICADAS,,Direito Econômico,,CIENCIAS_SOCIAIS_APLICADAS,Direito,Direito Constitucional,,,,,,Capítulo de livro publicado,Planejamento da Agroenergia no Brasil,2016,Brasil,Português,VARIOS,,NAO,,Planejamento da Agroenergia no Brasil,NAO,Energia e Direito: perspectivas para um diálogo de sustentabilidade,02,85,105.0,9788584409013,Maraluce M. Custódio,01,,Rio de Janeiro,Lumen Juris,2018-08-02T21:07:55.162Z,,,,,,,,,1999
1999,8540887895255246,4331,CAPITULO-DE-LIVRO-PUBLICADO,Adilson Pereira dos Santos| Erisvaldo Pereira dos Santos| Silvana Vanêssa Peixoto|,"SANTOS, A. P.| SANTOS, E. P.| PEIXOTO, S. V.|",8540887895255246| | |,1| 2| 3|,,,,,,,,,,,,,Capítulo de livro publicado,O NEABI/UFOP e a formação inicial e continuada de professores,2016,Brasil,Português,IMPRESSO,,NAO,,,NAO,"Educação, Relações Étnico-Raciais e Resistência: as experiências dos Núcleos de estudos Afro-Brasileiros e Indígenas no Brasil",1,141,158.0,9788561175610,Eugênia Portela de Siqueira Marques e Wilker Solidade da Silva,1,,Assis/SP,Triunfal Gráfica e Editora,2018-08-02T21:07:55.162Z,,,,,,,,,2000
